model,metric,mean,std,ci_low,ci_high
attention,accuracy,0.9694678814892502,0.0019885788049956396,0.9655184845306765,0.9732597011012061
attention,precision,0.9812011358870518,0.005549563344524449,0.9695316921335597,0.9914111263061927
attention,recall,0.7215755389318926,0.015996575024760946,0.6908373968401397,0.7520998647865559
attention,f1,0.8314929178959222,0.010951423164476072,0.8097267882131595,0.8517751310433908
baseline,accuracy,0.9536684583114841,0.002385868463839403,0.9490003932878867,0.9581803880440483
baseline,precision,0.9205027548466751,0.012089302784300428,0.8956313695548843,0.9435081247813781
baseline,recall,0.6076616439661686,0.017136993130218398,0.5749030203980943,0.6401728287690628
baseline,f1,0.731914741185842,0.013681335218739892,0.7051456837453309,0.7575405725656723
bn,accuracy,0.9663197430519139,0.002079559931475762,0.9622443628736235,0.9702412165705296
bn,precision,0.9825281980622367,0.005567986264871218,0.9706956724057701,0.9926212778611303
bn,recall,0.6907551170199845,0.016402517357636204,0.6591596488589797,0.7226896028172876
bn,f1,0.8110880488708188,0.011548257586605609,0.7885857316597288,0.8330946007703858
efficientnet,accuracy,0.9968897482957525,0.000620012428416915,0.9955427372836917,0.9980335605663345
efficientnet,precision,0.9912738726023079,0.0032764022856829754,0.9840681387585709,0.997382539812391
efficientnet,recall,0.9788382891191236,0.004995089707675879,0.9689778304459079,0.9879695289668213
efficientnet,f1,0.9850076782076569,0.002995221223926172,0.9790984878693344,0.9902289642285669
improved,accuracy,0.9675608285264814,0.0019437199818474098,0.9635553224960671,0.9712932616675407
improved,precision,0.9411024743002336,0.009528994178799814,0.9216949122205914,0.9588150115738328
improved,recall,0.7362308041966525,0.01478506342405336,0.7071274241959388,0.7646373603204724
improved,f1,0.8260622514195767,0.010421776962456051,0.8050791424867642,0.8447243681285594
large,accuracy,0.9524736497115889,0.0024182899456634964,0.9478205296276875,0.957000524383849
large,precision,0.7931500790124945,0.014947427584755221,0.76315222323049,0.8225601403948268
large,recall,0.7371422150104856,0.015206331378410442,0.7077408653382091,0.7661294115604547
large,f1,0.7640038496135128,0.011791242498714353,0.7404552200119942,0.7859319304580182
mobilenetv2,accuracy,0.9954353696906135,0.0007281562350043928,0.9939695857367593,0.996722600943891
mobilenetv2,precision,0.9923695127914514,0.0029675651186774734,0.9861630863552112,0.9974619289340102
mobilenetv2,recall,0.963717728370555,0.006414911396209553,0.9508712853091628,0.9761934449590309
mobilenetv2,f1,0.9778203256211647,0.003543173608311644,0.9705077325374081,0.9845023063094979
residual,accuracy,0.9880752490823282,0.00126031555646986,0.9853172522286313,0.9904299947561616
residual,precision,0.9928686394766435,0.0031377055571728298,0.9863534072933319,0.9985446588585708
residual,recall,0.8921235061468547,0.011234194842312748,0.868421052631579,0.9127127323049289
residual,f1,0.9397643679808987,0.0064058084693657275,0.925684027860318,0.9513775322181552
resnet18,accuracy,0.9951174619821709,0.0008054693623758711,0.9935762978500262,0.9965915049816466
resnet18,precision,0.9960242998798337,0.0023011757064357098,0.990849373780926,1.0
resnet18,recall,0.9571159334039475,0.007125575476557313,0.9429921967432241,0.9702075135468784
resnet18,f1,0.9761681443627128,0.003918362055703534,0.9684200124817974,0.9834053731357325
small,accuracy,0.9407420031463032,0.0026695086347582643,0.9352353172522286,0.9458573675930781
small,precision,0.9481409745065235,0.011188604708830324,0.9254123388581952,0.9685721187025534
small,recall,0.45764940138884175,0.017329472121026424,0.42271884066761695,0.48911817166108534
small,f1,0.6171445121892284,0.016560420541891864,0.5836677982428314,0.6472190366972477
threeconv,accuracy,0.9509260618772942,0.0025072625782744926,0.9459884635553225,0.9556895647614053
threeconv,precision,0.9137140256353884,0.012304456602326461,0.8882732634338139,0.9353467254875497
threeconv,recall,0.5854259416128027,0.01750516172476144,0.5502496217145205,0.6203367260304432
threeconv,f1,0.713465861387297,0.014140504501149969,0.6840435178733466,0.7403966817496229
tiny,accuracy,0.9478480597797588,0.0025638403861633686,0.9429732564237021,0.9529398269533299
tiny,precision,0.946610722927077,0.01082648707524903,0.9234091404341865,0.965675057208238
tiny,recall,0.5308728331964592,0.017731492474504486,0.4967959537626009,0.5646434445662804
tiny,f1,0.6800788184474811,0.015354947335621956,0.6503146842333148,0.7087136929460581
